13,high,open,"Run controls are not working (cannot start/stop simulation)","bryan",2026-01-31,"Clicking run does not start or stop the simulation; UI unresponsive."
14,high,fixed,"Switching tools is not working (only draw tool works)","bryan",2026-01-31,"Fixed on 2026-01-31: Tool selection is now model/controller-driven and works via context."
17,high,open,"Tool commit (mouse up) does not update grid","bryan",2026-01-31,"When releasing the mouse after using a tool, the grid does not update. Likely event or model/controller bug."
18,high,open,"ShapePalette icon does not open dialog","bryan",2026-01-31,"Clicking the shape palette icon does not open the ShapePaletteDialog. Event handler or context wiring issue."
15,high,open,"Uncaught runtime error: setPhotoTestOpen is not a function","bryan",2026-01-31,"TypeError: setPhotoTestOpen is not a function; breaks onOpenPhotoTest handler."
16,high,open,"Load Grids is not working","bryan",2026-01-31,"Grid loading UI or backend integration is broken; cannot load saved grids."
10,medium,open,"Script icon is not wired up","bryan",2026-01-29,"Script icon in UI does not trigger any action or open script dialog."
11,high,open,"Canvas initialization is not working","bryan",2026-01-29,"Grid/canvas is not displaying; likely initialization or rendering issue."
12,medium,open,"StatisticsPanel is not displaying","bryan",2026-01-29,"StatisticsPanel component is missing or not rendered in the UI."
id,severity,status,description,reported_by,created_at,notes
1,high,fixed,"Run button broken in UI - clicking doesn't start run","bryan",2026-01-24,"Fixed on 2026-01-27: UI handler and state logic corrected; all tests/lint passing"
2,high,fixed,"ShapesPaletteDialog does not work - dialog fails to open or populate","bryan",2026-01-24,"Fixed on 2026-01-27: dialog and backend integration corrected; all tests/lint passing"
3,high,fixed,"Registration endpoint returns 404 Not Found","bryan",2026-01-24,"Marked fixed on 2026-01-24 by restarting backend via Docker Desktop"
4,medium,fixed,"Payment methods now configured: PayPal only (no Stripe)","bryan",2026-01-24,"Fixed on 2026-01-27: Payment UI and backend support PayPal only; Stripe is disabled for now. UI clearly indicates PayPal is the only supported method."
5,medium,fixed,"ADA compliance mode now dispatches global event and resets color scheme/speed; GUI repaint is intentional and correct","bryan",2026-01-24,"Fixed on 2026-01-27: ADA mode toggle now dispatches 'gol:adaChanged' event, resets color scheme and speed as intended; repaint is correct and required for accessibility"
6,high,fixed,"Load button does not load any grids","bryan",2026-01-24,"Fixed on 2026-01-27: load handler, backend, and DAO refactored; all tests/lint passing"
7,medium,open,"Simulation motion is not smooth or fluid","bryan",2026-01-24,"Choppy animation/frame drops; investigate StepScheduler, RAF vs worker stepping, and rendering performance"
7a,medium,open,"Not every generation is rendered (subproblem of slow rendering)","bryan",2026-01-27,"Suspect: some simulation steps are not visually rendered; verify render scheduling and coalescing logic."
8,high,fixed,"Integration with backend is now working - shapes API reachable and functional","bryan",2026-01-24,"Fixed on 2026-01-27: Backend and frontend integration corrected, /v1/shapes endpoint verified, CORS/mounts resolved"
9,high,fixed,"Login dialog now appears above grid (z-index issue fixed)","bryan",2026-01-24,"Fixed on 2026-01-27: CSS z-index stacking context corrected; login modal is now accessible above grid canvas"
